wr_id,date_requested,prob_type,date_completed,bl_id
0,45:27.2,,,
58101,00:00.0,ROOF                            ,00:00.0,B02044  
58106,00:00.0,PREVENTIVE MAINT                ,00:00.0,B00063  
58127,00:00.0,OVERHDDOOR                      ,00:00.0,B04019  
58130,00:00.0,OVERHDDOOR                      ,00:00.0,B04006  
58131,00:00.0,OVERHDDOOR                      ,00:00.0,B04027  
58134,00:00.0,OVERHDDOOR                      ,00:00.0,B04004  
58139,00:00.0,ELEC/SECURITY                   ,00:00.0,B04011  
58148,00:00.0,DOOR                            ,00:00.0,B00050  
58151,00:00.0,OTHER                           ,00:00.0,B00122  
58160,00:00.0,OVERHDDOOR                      ,00:00.0,B06043  
58165,00:00.0,ELEC/SECURITY                   ,00:00.0,B00023  
58166,00:00.0,ELEC/SECURITY                   ,00:00.0,B00025  
58167,00:00.0,ELEC/SECURITY                   ,00:00.0,B00026  
58168,00:00.0,ELEC/SECURITY                   ,00:00.0,B00027  
58171,00:00.0,PLUMB/OTHER                     ,,B00060  
58174,00:00.0,ELEC/SECURITY                   ,00:00.0,B00028  
58178,00:00.0,ELEC/SECURITY                   ,00:00.0,B00029  
58181,00:00.0,ELEC/SECURITY                   ,,B00030  
58200,00:00.0,FLOOR                           ,,B00057  
58225,00:00.0,FLOOR                           ,00:00.0,B04005  
58253,00:00.0,SERV/SECURITY                   ,00:00.0,B00057  
58296,00:00.0,ELEC/SECURITY                   ,00:00.0,B00182  
58318,00:00.0,SERV/SECURITY                   ,00:00.0,B00035  
58333,00:00.0,SERV/SECURITY                   ,00:00.0,B00051  
58363,00:00.0,OTHER                           ,00:00.0,B07020  
58386,00:00.0,FLOOR                           ,00:00.0,B00021  
58389,00:00.0,OVERHDDOOR                      ,00:00.0,B04010  
58390,00:00.0,OVERHDDOOR                      ,00:00.0,B04021  
58423,00:00.0,OVERHDDOOR                      ,00:00.0,B04011  
58453,00:00.0,ELEC/OTHER                      ,00:00.0,
58480,00:00.0,OVERHDDOOR                      ,00:00.0,B04024  
58484,00:00.0,WINDOW                          ,00:00.0,B00057  
58485,00:00.0,OVERHDDOOR                      ,00:00.0,B04022  
58512,00:00.0,OTHER                           ,00:00.0,B00182  
58518,00:00.0,OTHER                           ,00:00.0,B00020  
58519,00:00.0,OTHER                           ,00:00.0,B06047  
58530,00:00.0,OVERHDDOOR                      ,00:00.0,B04025  
58536,00:00.0,FLOOR                           ,00:00.0,B00057  
59527,00:00.0,ELEC/LIGHT                      ,00:00.0,B00058  
59536,00:00.0,DOOR                            ,,B00031  
59568,00:00.0,DOOR                            ,00:00.0,B06071  
59576,00:00.0,OTHER                           ,00:00.0,
59577,00:00.0,OTHER                           ,00:00.0,
59578,00:00.0,OVERHDDOOR                      ,00:00.0,B04025  
59585,00:00.0,RAILSTAIRSRAMP                  ,00:00.0,B04039  
59591,00:00.0,WINDOW                          ,00:00.0,B06047  
59597,00:00.0,_COMPLAINT                      ,00:00.0,B00051  
59624,00:00.0,_COMPLAINT                      ,00:00.0,B00051  
59648,00:00.0,OVERHDDOOR                      ,00:00.0,B06043  
59671,00:00.0,OTHER                           ,00:00.0,B00165  
59673,00:00.0,OVERHDDOOR                      ,00:00.0,B04023  
59724,00:00.0,OTHER                           ,00:00.0,B00058  
59779,00:00.0,OVERHDDOOR                      ,00:00.0,B04022  
59780,00:00.0,OVERHDDOOR                      ,00:00.0,B04020  
59781,00:00.0,OVERHDDOOR                      ,00:00.0,B04029  
59848,00:00.0,CARPENTRY                       ,00:00.0,B06089  
59851,00:00.0,OVERHDDOOR                      ,00:00.0,B04024  
59852,00:00.0,OVERHDDOOR                      ,00:00.0,B04014  
59885,00:00.0,_COMPLAINT                      ,,B06040  
59914,00:00.0,OVERHDDOOR                      ,00:00.0,B04015  
59915,00:00.0,OTHER                           ,,B00102  
59926,00:00.0,OVERHDDOOR                      ,00:00.0,B04048  
60005,00:00.0,PLUMB/LEAK                      ,00:00.0,B00140  
60025,00:00.0,OVERHDDOOR                      ,00:00.0,B04023  
60026,00:00.0,OVERHDDOOR                      ,00:00.0,B04037  
60094,00:00.0,OVERHDDOOR                      ,00:00.0,B04021  
60102,00:00.0,OVERHDDOOR                      ,00:00.0,B06043  
60106,00:00.0,DOOR                            ,,B08003  
60204,00:00.0,OVERHDDOOR                      ,00:00.0,B04007  
60206,00:00.0,OVERHDDOOR                      ,00:00.0,B04010  
60216,00:00.0,FENCE_GATE                      ,00:00.0,B04039  
60227,00:00.0,OVERHDDOOR                      ,00:00.0,B00140  
60274,00:00.0,OVERHDDOOR                      ,00:00.0,B06043  
60441,00:00.0,HVAC                            ,,B00048  
60490,00:00.0,FLOOR                           ,,B00120  
60560,00:00.0,WINDOW                          ,00:00.0,B06064  
60582,00:00.0,OVERHDDOOR                      ,00:00.0,B00005  
60583,00:00.0,OVERHDDOOR                      ,00:00.0,B00020  
60594,00:00.0,OVERHDDOOR                      ,00:00.0,B06038  
60639,00:00.0,OVERHDDOOR                      ,00:00.0,B04025  
60641,00:00.0,OVERHDDOOR                      ,00:00.0,B04011  
60751,00:00.0,SECURITY SYSTEMS-CAMERA         ,00:00.0,B04018  
